City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
152,2025-01-08,AO,Malanje,80,96,18.03,64.45400000000001,1.99,-9.5402,16.341
445,2025-01-08,AO,Benguela,82,79,24.41,75.938,2.29,-12.5763,13.4055
172,2025-01-08,AO,Sumbe,62,84,24.73,76.514,3.38,-11.2061,13.8437
278,2025-01-08,AO,Menongue,100,96,17.38,63.284,0.88,-14.6585,17.691
62,2025-01-08,AO,Soio,40,85,26.38,79.484,4.46,-6.1349,12.3689
183,2025-01-08,AO,Quibala,23,97,16.49,61.682,1.19,-10.7337,14.98
486,2025-01-08,AO,Namibe,100,79,21.54,70.77199999999999,1.47,-15.1961,12.1522
395,2025-01-08,AR,Mar Del Plata,0,83,23.01,73.418,6.17,-38.0023,-57.5575
121,2025-01-08,AR,Mina Clavero,66,31,31.09,87.962,1.98,-31.721,-65.0062
246,2025-01-08,AR,Sarmiento,59,22,24.64,76.352,15.75,-45.5882,-69.07
378,2025-01-08,AR,Viedma,83,45,27.37,81.266,9.36,-40.8135,-62.9967
7,2025-01-08,AR,Ushuaia,75,55,14.81,58.658,3.09,-54.8,-68.3
400,2025-01-08,AR,Goya,0,18,36.24,97.232,3.98,-29.14,-59.2626
323,2025-01-08,AR,Rosario Del Tala,2,15,35.95,96.71000000000001,4.52,-32.3029,-59.1455
330,2025-01-08,AR,General Villegas,6,13,38.65,101.57,3.67,-35.0328,-63.0125
27,2025-01-08,AR,Eduardo Castex,49,15,38.53,101.354,1.17,-35.915,-64.2945
398,2025-01-08,AR,Puerto Madryn,48,50,25.88,78.584,5.83,-42.7692,-65.0385
482,2025-01-08,AR,Punta Alta,51,27,34.54,94.172,3.88,-38.8759,-62.0736
255,2025-01-08,AS,Ta`U,100,79,27.67,81.80600000000001,12.4,-14.2336,-169.5144
432,2025-01-08,AU,Mount Isa,5,73,22.87,73.166,0.51,-20.7333,139.5
410,2025-01-08,AU,Kiama,69,92,19.1,66.38,1.34,-34.6833,150.8667
104,2025-01-08,AU,Geraldton,20,82,16.23,61.214,5.14,-28.7667,114.6
113,2025-01-08,AU,Margaret River,100,88,11.61,52.897999999999996,3.06,-33.95,115.0667
188,2025-01-08,AU,Howard Springs,100,95,25.95,78.71,2.15,-12.497,131.047
289,2025-01-08,AU,Karratha,58,53,30.91,87.638,3.1,-20.7377,116.8463
35,2025-01-08,AU,Blackmans Bay,100,79,15.29,59.522,0.97,-43.0167,147.3167
13,2025-01-08,AU,New Norfolk,100,59,15.95,60.709999999999994,0.51,-42.7826,147.0587
351,2025-01-08,AU,Broken Hill,69,30,26.21,79.178,7.57,-31.95,141.4333
64,2025-01-08,AU,Carnarvon,92,62,24.6,76.28,8.4,-24.8667,113.6333
372,2025-01-08,AU,Charters Towers,0,81,23.04,73.472,4.22,-20.1,146.2667
94,2025-01-08,AU,Inverell,3,81,19.53,67.154,2.24,-29.7833,151.1167
265,2025-01-08,AU,Chinchilla,4,81,21.68,71.024,1.79,-26.75,150.6333
530,2025-01-08,AU,Malabar,75,92,19.84,67.712,5.14,-33.9667,151.25
244,2025-01-08,AU,Codrington,100,55,20.59,69.062,2.43,-38.2667,141.9667
98,2025-01-08,AU,Colac,100,52,20.68,69.224,2.42,-38.3333,143.5833
442,2025-01-08,AU,Dubbo,3,72,18.07,64.526,4.12,-32.25,148.6167
312,2025-01-08,AU,Nambucca Heads,61,86,19.37,66.866,1.49,-30.65,153.0
391,2025-01-08,AU,Bairnsdale,94,56,16.98,62.564,0.17,-37.8333,147.6167
531,2025-01-08,AU,Mount Gambier,100,69,18.84,65.912,1.65,-37.8333,140.7667
516,2025-01-08,AU,Aldinga Beach,100,54,22.27,72.086,4.07,-35.2793,138.4604
438,2025-01-08,AU,Urangan,47,72,24.76,76.568,2.1,-25.3,152.9
222,2025-01-08,AU,Kununurra,18,94,25.99,78.782,0.0,-15.7667,128.7333
416,2025-01-08,AU,Alice Springs,40,32,26.75,80.15,3.09,-23.7,133.8833
268,2025-01-08,AU,Andergrove,17,75,25.1,77.18,1.5,-21.0833,149.1833
327,2025-01-08,AU,Wynyard,100,80,16.22,61.196,5.36,-41.0,145.7167
537,2025-01-08,BO,Mineros,100,90,24.27,75.686,0.86,-17.1167,-63.2333
156,2025-01-08,BO,Santa Cruz,75,74,28.03,82.45400000000001,3.6,-17.8,-63.1667
346,2025-01-08,BO,Camiri,40,37,31.88,89.384,0.0,-20.05,-63.5167
